name,email,sector,city,phone,website,address,formations,description,url
"Centre universitaire départemental - antenne de l'université de Nantes, Université de Nantes",Non trouvé,Unité de formation et de recherche,La Roche-sur-Yon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-centre_universitaire_departemental_antenne_de_l_universite_de_nantes_universite_de_nantes-982
"ULCO - Centre universitaire Lamartine, Université du Littoral - Côte d'Opale",Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-ulco_centre_universitaire_lamartine_universite_du_littoral_cote_d_opale-984
"Centre universitaire UFR de physique chimie automatique, Université Toulouse III",Non trouvé,Unité de formation et de recherche,Tarbes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-centre_universitaire_ufr_de_physique_chimie_automatique_universite_toulouse_iii-985
Centre universitaire La forêt - Université de Valenciennes,Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-centre_universitaire_la_foret_universite_de_valenciennes-987
Centre universitaire La forêt - Université de Lille 2,Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-centre_universitaire_la_foret_universite_de_lille_2-988
"Faculté de Droit, d'Economie et de Gestion (Centre universitaire d'études juridiques de Bourges) - site de Bourges, Université d'Orléans",Non trouvé,Unité de formation et de recherche,Bourges,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-faculte_de_droit_d_economie_et_de_gestion_centre_universitaire_d_etudes_juridiques_de_bourges_site_de_bourges_universite_d_orleans-989
"IUP management du sport, Université de Nice - Sophia Antipolis",Non trouvé,Unité de formation et de recherche,Nice,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iup_management_du_sport_universite_de_nice_sophia_antipolis-990
"IUPIIA - IUP innovation en industries alimentaires, Université de Bretagne Occidentale",Non trouvé,Unité de formation et de recherche,Quimper,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iupiia_iup_innovation_en_industries_alimentaires_universite_de_bretagne_occidentale-991
"IUP IS - IUP ingénierie de la santé, Université Picardie Jules Verne Amiens",Non trouvé,Unité de formation et de recherche,Amiens,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iup_is_iup_ingenierie_de_la_sante_universite_picardie_jules_verne_amiens-992
"IUP banque et assurance, Université de Caen Basse-Normandie",Non trouvé,Unité de formation et de recherche,Caen,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iup_banque_et_assurance_universite_de_caen_basse_normandie-993
"IUP Droit de l'urbanisme et de l'immobilier, Université de Perpignan Via Domitia",Non trouvé,Unité de formation et de recherche,Carcassonne,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iup_droit_de_l_urbanisme_et_de_l_immobilier_universite_de_perpignan_via_domitia-994
"UFR Sciences de l'Homme et de la Société, Université de Rouen",Non trouvé,Unité de formation et de recherche,Mont-Saint-Aignan,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-ufr_sciences_de_l_homme_et_de_la_societe_universite_de_rouen-995
"IECA - Institut européen de cinéma et d'audiovisuel, Nancy-Université - Nancy 2",Non trouvé,Unité de formation et de recherche,Nancy,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-ieca_institut_europeen_de_cinema_et_d_audiovisuel_nancy_universite_nancy_2-1026
"Institut du thermalisme, Université Bordeaux II",Non trouvé,Unité de formation et de recherche,Mont-de-Marsan,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-institut_du_thermalisme_universite_bordeaux_ii-1031
"IUG - Institut d'urbanisme de Grenoble, Université Pierre Mendès France - Grenoble 2",Non trouvé,Unité de formation et de recherche,Grenoble,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iug_institut_d_urbanisme_de_grenoble_universite_pierre_mendes_france_grenoble_2-1032
"IUL - Institut d'urbanisme de Lyon, Université Lumière - Lyon 2",Non trouvé,Unité de formation et de recherche,Lyon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iul_institut_d_urbanisme_de_lyon_universite_lumiere_lyon_2-1033
"IMMD - Institut du marketing et du management de la distribution, Université de Lille 2",Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-immd_institut_du_marketing_et_du_management_de_la_distribution_universite_de_lille_2-1038
"Institut du droit de la paix et du développement, Université de Nice - Sophia Antipolis",Non trouvé,Unité de formation et de recherche,Nice,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-institut_du_droit_de_la_paix_et_du_developpement_universite_de_nice_sophia_antipolis-1041
"IEP - Institut d'études politiques (Sciences Po Grenoble), Université Grenoble Alpes (COMUE)",Non trouvé,Unité de formation et de recherche,Grenoble,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iep_institut_d_etudes_politiques_sciences_po_grenoble_universite_grenoble_alpes_comue-1044
"Institut d'urbanisme de Paris, Université Paris-Est Créteil Val-de-Marne",Non trouvé,Unité de formation et de recherche,Créteil,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-institut_d_urbanisme_de_paris_universite_paris_est_creteil_val_de_marne-1045
"IEJ - Institut d'études judiciaires, Université Picardie Jules Verne Amiens",Non trouvé,Unité de formation et de recherche,Amiens,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_picardie_jules_verne_amiens-1059
"DEJEP - Département d'études juridiques et économiques de Périgueux, Université de Bordeaux",Non trouvé,Unité de formation et de recherche,Périgueux,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-dejep_departement_d_etudes_juridiques_et_economiques_de_perigueux_universite_de_bordeaux-1060
"IEJ - Institut d'études judiciaires, Université Grenoble Alpes (COMUE)",Non trouvé,Unité de formation et de recherche,Grenoble,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_grenoble_alpes_comue-1061
"IEJ - Institut d'études judiciaires, Université Pau et Pays de l'Adour",Non trouvé,Unité de formation et de recherche,Pau,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_pau_et_pays_de_l_adour-1063
"IEJ - Institut d'études judiciaires, Université Rennes 1",Non trouvé,Unité de formation et de recherche,Rennes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_rennes_1-1065
"IEJ - Institut d'études judiciaires, Université Jean Moulin - Lyon 3",Non trouvé,Unité de formation et de recherche,Lyon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_jean_moulin_lyon_3-1066
"IEJ - Institut d'études judiciaires, Université Panthéon-Assas",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_pantheon_assas-1067
